iter	Passed	Remaining
0	1	1435
1	2	1267
2	3	1206
3	4	1173
4	6	1221
5	7	1195
6	8	1157
7	9	1124
8	9	1090
9	10	1064
10	12	1117
11	13	1138
12	14	1138
13	15	1121
14	16	1096
15	17	1072
16	18	1052
17	18	1033
18	19	1015
19	20	1000
20	21	1001
21	22	991
22	23	982
23	23	970
24	24	957
25	25	948
26	25	936
27	26	925
28	27	914
29	27	904
30	28	895
31	29	887
32	29	878
33	30	871
34	31	863
35	31	856
36	32	849
37	33	843
38	33	837
39	34	831
40	35	825
41	36	823
42	36	818
43	37	813
44	38	809
45	38	805
46	39	803
47	40	798
48	40	794
49	41	790
50	42	786
51	42	782
52	43	778
53	44	775
54	44	772
55	45	768
56	46	765
57	46	762
58	47	759
59	48	756
60	48	754
61	49	751
62	50	748
63	51	747
64	51	744
65	52	742
66	53	740
67	53	733
68	54	730
69	54	728
70	55	726
71	56	723
72	56	721
73	57	719
74	58	717
75	58	715
76	59	713
77	60	711
78	60	709
79	61	706
80	62	704
81	62	703
82	63	701
83	64	699
84	64	695
85	65	694
86	65	690
87	66	689
88	67	689
89	68	688
90	68	686
91	69	685
92	70	683
93	70	682
94	71	680
95	72	679
96	72	677
97	73	676
98	74	675
99	74	674
100	75	672
101	75	668
102	76	667
103	77	665
104	77	664
105	78	662
106	79	661
107	79	660
108	80	660
109	81	659
110	82	658
111	82	657
112	83	656
113	84	654
114	84	653
115	85	651
116	86	649
117	86	648
118	87	646
119	87	645
120	88	644
121	89	642
122	89	639
123	90	638
124	91	637
125	91	636
126	92	635
127	92	632
128	93	631
129	94	630
130	94	629
131	95	629
132	96	628
133	97	627
134	97	626
135	98	625
136	99	624
137	99	622
138	100	622
139	101	621
140	101	620
141	102	619
142	103	618
143	103	617
144	104	616
145	105	615
146	105	614
147	106	613
148	107	612
149	107	611
150	108	610
151	109	611
152	110	611
153	111	610
154	111	609
155	112	608
156	113	607
157	113	606
158	114	605
159	115	604
160	115	604
161	116	603
162	117	602
163	117	601
164	118	600
165	119	599
166	120	598
167	120	597
168	121	596
169	122	595
170	122	595
