iter	Passed	Remaining
0	152	152373
1	154	76882
2	155	51642
3	156	39031
4	158	31474
5	159	26437
6	161	22853
7	163	20302
8	166	18316
9	167	16605
10	168	15190
11	170	14028
12	171	13043
13	173	12201
14	174	11464
15	177	10907
16	179	10381
17	181	9893
18	183	9482
19	185	9102
20	187	8726
21	188	8379
22	191	8129
23	193	7878
24	195	7617
25	200	7500
26	201	7267
27	203	7048
28	207	6933
29	208	6745
30	210	6569
31	211	6402
32	213	6242
33	214	6091
34	215	5946
35	217	5811
36	219	5722
37	222	5628
38	224	5537
39	226	5439
40	228	5349
41	230	5259
42	234	5226
43	236	5144
44	238	5053
45	239	4964
46	240	4879
47	242	4799
48	245	4755
49	249	4739
50	251	4673
51	252	4601
52	253	4532
53	254	4463
54	256	4398
55	257	4339
56	258	4280
57	259	4222
58	263	4202
59	265	4152
60	266	4101
61	267	4052
62	269	4003
63	270	3956
64	272	3915
65	274	3881
66	278	3873
67	279	3836
68	281	3793
69	282	3752
70	283	3712
71	285	3674
72	286	3639
73	287	3603
74	289	3566
75	294	3584
76	296	3555
77	298	3526
78	300	3503
79	303	3486
80	305	3466
81	308	3454
82	309	3421
83	311	3396
84	313	3371
85	315	3353
86	318	3341
87	323	3348
88	325	3327
89	327	3306
90	329	3288
91	331	3272
92	333	3252
93	336	3239
94	337	3216
95	339	3201
96	342	3184
97	343	3165
98	345	3143
99	347	3126
100	349	3115
101	352	3099
102	354	3083
103	360	3107
104	363	3102
105	366	3091
106	370	3090
107	372	3073
108	373	3054
109	375	3040
110	378	3027
111	380	3014
112	384	3014
113	385	2999
114	387	2981
115	390	2972
116	391	2954
117	396	2965
118	398	2949
119	400	2934
120	401	2919
121	403	2903
122	405	2889
123	409	2895
124	411	2881
125	413	2868
126	414	2852
127	417	2841
128	418	2828
129	421	2823
130	423	2811
131	425	2800
132	427	2787
133	429	2775
134	434	2785
135	436	2775
136	438	2760
137	440	2749
138	441	2737
139	443	2725
140	445	2715
141	447	2703
142	449	2692
143	450	2680
144	452	2670
145	454	2657
146	455	2644
147	457	2630
148	461	2637
149	463	2625
150	465	2615
151	466	2601
152	467	2588
153	468	2575
154	470	2564
155	471	2551
156	475	2551
157	476	2541
158	478	2529
159	479	2518
160	480	2504
161	481	2492
162	483	2482
163	484	2471
164	486	2459
165	489	2460
166	491	2451
167	493	2444
168	495	2435
169	497	2426
170	498	2416
171	499	2406
172	503	2409
173	505	2399
174	506	2388
175	507	2377
176	509	2367
177	510	2357
178	512	2350
179	514	2341
180	518	2346
181	520	2339
182	522	2331
183	524	2323
184	525	2315
185	527	2309
186	529	2300
187	533	2302
188	535	2297
189	537	2289
190	539	2284
191	540	2276
192	543	2272
193	549	2282
194	551	2275
195	553	2270
196	555	2263
197	556	2255
198	558	2246
199	559	2237
200	561	2232
201	562	2223
202	564	2215
203	565	2206
204	566	2198
205	568	2190
206	569	2181
207	570	2173
208	572	2165
209	576	2170
210	578	2164
211	580	2158
212	582	2152
213	583	2144
214	585	2136
215	586	2128
216	590	2129
217	591	2122
218	592	2114
219	595	2112
220	597	2107
221	599	2101
222	600	2093
223	604	2095
224	606	2090
225	608	2083
226	611	2082
227	612	2074
228	613	2066
229	615	2060
230	616	2052
231	620	2055
232	622	2047
233	623	2041
234	625	2034
235	626	2028
236	627	2021
237	629	2014
238	630	2007
239	632	2003
240	635	1999
241	636	1994
242	638	1990
243	640	1983
244	642	1979
245	644	1974
246	649	1981
247	651	1976
248	653	1970
249	654	1963
250	655	1956
251	656	1950
252	658	1944
253	660	1938
254	663	1939
255	665	1934
256	667	1930
257	670	1928
258	672	1923
259	673	1917
260	677	1917
261	679	1912
262	680	1907
263	682	1902
264	684	1897
265	686	1893
266	687	1888
267	693	1893
268	694	1888
269	696	1883
270	698	1878
271	700	1873
272	701	1868
273	703	1864
274	705	1860
275	707	1856
276	709	1850
277	710	1845
278	712	1839
279	713	1835
280	715	1830
281	719	1832
282	721	1827
283	722	1822
284	723	1816
285	725	1810
286	726	1805
287	728	1800
288	729	1794
289	731	1791
290	734	1788
291	735	1783
292	736	1778
293	738	1772
294	739	1767
295	740	1761
296	742	1756
297	743	1751
298	746	1751
299	749	1748
300	750	1743
301	751	1737
302	753	1733
303	755	1729
304	757	1725
305	759	1723
306	762	1720
307	769	1728
308	771	1725
309	773	1722
310	777	1722
311	779	1718
312	780	1714
313	782	1709
314	785	1708
315	790	1711
316	793	1708
317	795	1705
318	797	1702
319	799	1698
320	801	1695
321	804	1693
322	807	1692
323	809	1689
324	812	1687
325	815	1685
326	817	1681
327	819	1679
328	822	1678
329	824	1673
330	825	1669
331	827	1665
332	829	1660
333	830	1656
334	832	1652
335	836	1653
336	838	1649
337	839	1645
338	841	1641
339	843	1637
340	845	1634
341	848	1632
342	850	1629
343	852	1625
344	854	1621
345	856	1618
346	858	1615
347	863	1617
348	864	1613
349	866	1608
350	867	1604
351	869	1599
352	871	1596
353	873	1593
354	879	1598
355	883	1598
356	886	1597
357	889	1594
358	895	1598
359	898	1596
360	903	1599
361	905	1595
362	916	1608
363	919	1606
364	921	1603
365	924	1600
366	930	1605
367	933	1602
368	935	1599
369	938	1598
370	946	1604
371	951	1605
372	952	1601
373	961	1608
374	964	1607
375	966	1604
376	968	1600
377	973	1602
378	977	1601
379	979	1598
380	982	1596
381	993	1607
382	996	1605
383	999	1604
384	1009	1611
385	1010	1607
386	1012	1603
387	1013	1599
388	1015	1594
389	1020	1596
390	1024	1595
391	1027	1593
392	1031	1592
393	1034	1590
394	1035	1586
395	1037	1582
396	1048	1591
397	1050	1589
398	1057	1592
399	1058	1588
400	1066	1592
401	1067	1588
402	1069	1584
403	1071	1581
404	1073	1577
405	1080	1580
406	1082	1577
407	1084	1573
408	1089	1574
409	1096	1577
410	1100	1576
411	1102	1572
412	1104	1569
413	1111	1573
414	1117	1575
415	1126	1581
416	1130	1580
417	1132	1576
418	1134	1573
419	1147	1584
420	1150	1582
421	1155	1582
422	1157	1579
423	1160	1575
424	1162	1572
425	1171	1578
426	1175	1577
427	1178	1575
428	1192	1587
429	1194	1583
430	1202	1586
431	1206	1585
432	1207	1581
433	1209	1577
434	1214	1578
435	1217	1575
436	1220	1572
437	1222	1569
438	1227	1569
439	1236	1573
440	1237	1569
441	1239	1564
442	1241	1560
443	1242	1556
444	1248	1557
445	1250	1552
446	1252	1548
447	1253	1544
448	1254	1540
449	1256	1535
450	1257	1530
451	1261	1529
452	1263	1525
453	1264	1521
454	1266	1516
455	1267	1512
456	1268	1507
457	1270	1503
458	1271	1498
459	1273	1494
460	1277	1493
461	1278	1488
462	1279	1484
463	1281	1479
464	1282	1475
465	1283	1471
466	1285	1466
467	1286	1462
468	1287	1458
469	1292	1457
470	1293	1452
471	1294	1448
472	1296	1444
473	1297	1439
474	1298	1435
475	1300	1431
476	1302	1427
477	1307	1427
478	1308	1423
479	1310	1420
480	1312	1416
481	1314	1412
482	1316	1408
483	1317	1404
484	1324	1406
485	1325	1402
486	1326	1397
487	1328	1393
488	1329	1389
489	1331	1385
490	1332	1381
491	1337	1380
492	1338	1376
493	1339	1372
494	1340	1367
495	1342	1363
496	1343	1359
497	1344	1355
498	1346	1351
499	1347	1347
500	1351	1345
501	1353	1342
502	1354	1338
503	1356	1334
504	1357	1330
505	1359	1327
506	1360	1322
507	1361	1318
508	1366	1317
509	1367	1313
510	1368	1309
511	1370	1305
512	1371	1302
513	1373	1298
514	1374	1294
515	1375	1290
516	1377	1286
517	1380	1284
518	1381	1280
519	1382	1276
520	1384	1272
521	1385	1268
522	1386	1264
523	1388	1260
524	1389	1256
525	1390	1253
526	1395	1252
527	1396	1248
528	1398	1244
529	1399	1241
530	1400	1237
531	1402	1233
532	1403	1229
533	1404	1225
534	1406	1222
535	1409	1220
536	1411	1217
537	1413	1213
538	1414	1210
539	1416	1206
540	1418	1203
541	1419	1199
542	1424	1198
543	1425	1194
544	1426	1191
545	1428	1187
546	1429	1183
547	1430	1180
548	1432	1176
549	1433	1172
550	1434	1169
551	1437	1166
552	1439	1163
553	1441	1160
554	1442	1156
555	1443	1152
556	1445	1149
557	1446	1145
558	1450	1144
559	1452	1140
560	1453	1137
561	1454	1133
562	1456	1130
563	1457	1126
564	1458	1123
565	1460	1119
566	1461	1116
567	1465	1114
568	1466	1110
569	1469	1108
570	1471	1105
571	1472	1101
572	1473	1098
573	1477	1096
574	1479	1093
575	1482	1091
576	1484	1088
577	1486	1085
578	1488	1082
579	1489	1078
580	1492	1076
581	1494	1073
582	1496	1070
583	1498	1067
584	1500	1064
585	1501	1060
586	1502	1057
587	1504	1053
588	1507	1052
589	1508	1048
590	1510	1045
591	1511	1041
592	1512	1038
593	1514	1034
594	1515	1031
595	1516	1028
596	1519	1025
597	1522	1023
598	1523	1019
599	1524	1016
600	1526	1013
601	1527	1009
602	1528	1006
603	1530	1003
604	1531	999
605	1534	997
606	1536	994
607	1537	991
608	1538	988
609	1540	984
610	1541	981
611	1542	978
612	1544	974
613	1545	971
614	1547	968
615	1549	965
616	1550	962
617	1551	959
618	1553	956
619	1554	952
620	1556	949
621	1557	946
622	1558	943
623	1563	941
624	1565	939
625	1566	936
626	1569	933
627	1571	930
628	1573	928
629	1578	927
630	1580	924
631	1582	921
632	1588	920
633	1593	919
634	1595	916
635	1597	914
636	1598	911
637	1600	908
638	1602	905
639	1603	902
640	1609	901
641	1611	898
642	1612	895
643	1614	892
